APAAC9,APAAC5,_PolarityD2001,413,T,652,APAAC16,_SecondaryStrD2001,_HydrophobicityD3050,_ChargeC3,_SolventAccessibilityC2,GearyAuto_Hydrophobicity2,PAAC23,_PolarityC1,_SolventAccessibilityD1025,R,S,_SecondaryStrC1,class_label
-1.006391704,0.598623393,-0.403227926,-0.549195903,0.81887892,-0.855337275,1.5428501,1.513384331,-0.472870736,-1.800955734,-1.013079667,-0.696335776,0.391031997,-0.608444325,0.192732502,-0.234956503,1.057341043,-0.753777165,1
-1.573733471,0.109133702,3.655981096,0.339890213,3.396283802,-0.855337275,2.599360048,1.052361445,-1.660197879,-2.676369666,-2.396604519,-2.072608753,0.647954391,-0.973382119,-1.770675465,-1.721306948,2.619490742,-1.933495434,1
-1.262841644,-1.137638245,-0.660568944,0.339890213,-0.259706864,1.831586102,0.926901376,-0.826833365,1.327166281,-1.300719201,-0.782492192,2.599475828,-1.572473734,0.550769843,0.911870539,-1.088347507,1.05322717,-0.262227886,1
-0.304377903,-0.165243927,-0.227169813,1.673519388,0.709610426,0.219432076,0.635476594,-1.069435933,1.175871922,0.950345196,-0.225239127,-0.672190636,0.812080017,-0.393775035,0.232520203,-0.87708323,0.439512145,-2.19565505,1
-0.264979169,-1.137638245,0.123301011,1.451247858,1.230104437,-0.3179526,0.084584838,-0.368150697,-0.065688761,-0.550364402,0.428092053,-0.454884376,0.197128304,-1.188051409,0.462368163,-0.447887559,0.271591338,-0.229457934,1
-1.358831286,-1.137638245,-0.743168171,1.451247858,0.673579237,0.219432076,1.233163712,-0.771448213,-2.979019835,4.545795276,2.464948084,-2.712454962,1.266599507,-3.785549822,-0.761185856,-1.334197455,5.192531184,-3.227908535,1
-0.10308619,-0.011592455,-0.503268424,-0.549195903,-0.316886793,-0.3179526,0.362693867,2.178786229,-1.359330859,0.137460831,1.215932593,-1.227528855,0.778839384,-0.071771099,0.337743875,-1.735057878,0.519171682,-0.475232574,1
-1.573733471,1.295542571,0.191091611,-0.549195903,3.564690443,-0.855337275,-0.473915919,2.798943918,-2.866463718,-1.550837468,-1.512685864,-1.481052824,1.462811577,-0.95191519,-2.73511619,-1.162935881,-0.152137561,-0.508002526,1
0.692051892,0.944339205,-0.255141663,0.117618684,3.547849779,-0.855337275,-0.446143061,1.202135377,-0.951503247,-0.675423535,-0.993864044,-0.575610076,1.343930147,-0.95191519,0.650455478,-0.942921013,-0.471523686,-0.589927405,1
0.641191708,-1.137638245,0.356948226,0.117618684,0.391204382,0.219432076,-0.47619862,-0.418855414,-0.90803033,0.637697363,0.831620135,0.293614962,-0.458220012,-0.479642751,-0.692461645,-1.150018342,-0.189910393,0.491481008,1
-1.573733471,0.923486506,0.125275494,-0.104652845,2.643545285,-0.855337275,1.023155253,-0.011657534,-2.024337361,-1.394513551,-1.320529634,-1.287891705,1.416644031,-0.179105745,-0.445843662,-1.337114319,1.239473411,-1.458331131,1
0.504370651,-0.607540666,1.515640968,-0.104652845,-0.580854411,0.219432076,-0.164229532,-0.687200376,-0.486213908,1.356787379,0.773973266,0.088381273,-0.151205831,-0.393775035,-1.580286382,-1.828814214,0.518049717,0.786410576,1
-0.692634515,0.885073638,0.297713721,0.117618684,2.84524161,-0.3179526,-0.266951061,0.191941405,-0.829477782,-2.082338784,-0.513473471,-2.012245903,1.175187766,-0.200572674,-0.087096703,0.233825177,-0.327538138,-1.048706732,1
1.894787783,-1.137638245,2.147146612,-0.104652845,0.340290747,-0.855337275,1.030003355,0.766074813,-0.267127624,-2.301192267,0.235935824,0.993824021,0.690428533,-1.059249835,-0.739812297,-1.09459793,1.42871156,0.327631249,1
-1.573733471,0.04218556,2.178738348,-0.326924374,-0.688164688,-0.3179526,1.174193946,0.550774785,-0.739088549,0.543903013,0.754757643,-1.179238575,0.764296607,-0.372308106,-1.055154491,-1.19043774,1.292205781,-0.065608175,1
-0.754239808,-1.137638245,2.350518413,-0.549195903,0.97083654,-0.3179526,2.417124446,-0.04988109,-0.712402204,-0.925541802,-1.608763978,-0.153070127,0.411345717,-0.136171886,-1.204769401,-1.507959197,2.159484965,-1.687720795,1
0.29376651,0.578868203,2.995516361,-0.326924374,-0.89416909,-0.855337275,1.794708071,1.487641936,-1.87024524,0.543903013,0.08221084,-1.468980254,0.659034602,-0.307907319,-1.073897458,0.073397668,1.535298264,0.507865984,1
-0.712692053,0.841173217,0.816344724,-0.104652845,-0.209576516,-0.3179526,1.173052595,-0.515584412,0.613521763,-0.644158752,-0.859354684,-1.118875725,0.706587174,0.765439133,0.017140498,-1.017509387,0.979177459,-1.851570555,1
-0.617418751,-1.137638245,-0.342677098,-0.549195903,-0.127723055,-0.3179526,-1.101658596,1.870657566,-0.180612215,1.012874763,1.600245052,0.933461171,0.121182691,-1.252452196,-0.0075213,-0.819996039,-0.835040446,0.737255648,1
-1.179746133,-1.137638245,-0.558553962,-0.326924374,-0.379941372,0.756816751,2.020695435,-0.114627113,0.418754487,0.79402128,1.273579462,1.45258168,-1.08886869,0.293166694,-0.58953974,-0.920002797,1.26602659,-0.196687982,1
0.67844142,-1.023497152,-0.757976797,1.0067048,1.46665702,-0.855337275,1.536382448,-0.315885835,-0.555081896,-0.644158752,-0.186807881,0.209106972,0.555157623,-1.188051409,0.208187228,-0.99792473,1.380093063,-1.392791228,1
-0.770715642,-0.801800027,-0.522684179,0.784433271,1.202297759,-0.3179526,-0.704849134,-0.824493148,0.637625559,0.106196047,0.966129495,-0.165142697,0.088172895,-0.672845112,0.193718973,-0.2191221,-0.480873397,-1.032321756,1
-1.335192046,-0.407793751,1.995769542,-0.326924374,-0.482160287,-0.855337275,0.413674181,1.480621283,0.325352279,-1.019336151,-0.321317242,0.172889263,-0.517776146,-0.136171886,-0.336016453,-1.056262006,0.251395962,0.229321393,1
-0.694067197,-0.912648589,-0.592778343,-0.104652845,0.408828333,-0.3179526,0.041593976,-0.079523848,-0.804513137,-0.675423535,-0.129161012,-1.481052824,0.820390175,-0.651378183,-0.113731445,-1.038760823,0.032238738,-1.196171516,1
-1.22272657,0.476799725,-0.236054989,-0.326924374,2.504120253,-0.855337275,-0.879475734,0.7863567,-2.282807526,-1.769690951,-2.415820142,-0.116852417,1.246747462,-0.372308106,-1.767058401,-1.435037603,-0.414303455,-0.376922718,1
0.03660023,-1.137638245,-0.048808136,-0.326924374,0.326191586,-0.855337275,-0.171838534,-0.765987705,-1.320377404,-0.175187002,0.966129495,1.186985141,-7.12E-06,-0.222039603,-0.529364952,-0.27787607,0.066271686,0.933875359,1
-1.335908387,-1.015814578,-0.797466468,4.785320794,2.316131445,-0.855337275,4.73140245,-1.081917094,0.303185396,-3.051547066,-3.434248157,0.112526413,0.750446343,-2.776604157,-1.287304219,-1.682137635,5.328662975,-2.064575242,1
-1.573733471,-1.137638245,-0.360776531,-0.549195903,0.136244562,0.219432076,-1.320036958,1.56798941,-2.157769087,1.294257813,1.907695019,2.877144938,0.687196805,-2.690736441,-1.527016898,1.390986709,-0.792405764,3.948710936,1
-0.246354313,-1.137638245,-0.684591827,2.340333975,0.98141091,0.219432076,1.771120164,-0.931363089,0.029865571,-1.144395285,-0.763276569,-1.299964275,1.372323187,-0.930448261,-0.32746703,-0.78124342,1.385328901,-1.94988041,1
0.054508745,-1.019107109,-0.59639823,0.562161742,-0.056835609,0.219432076,0.347475862,-1.021851507,0.087112086,-0.894277018,-1.128373405,-1.360327125,1.019603136,-1.445654557,0.200295453,0.928872147,0.148175153,-0.016453247,1
-0.899656953,-0.104880849,-0.145886908,-0.104652845,0.163659596,-0.3179526,0.985490693,-0.895479751,-0.786865715,-1.081865718,0.062995217,-0.454884376,1.107321473,0.16436512,-0.352786476,0.091732241,1.071552603,-1.26171142,1
-0.653235782,0.272662769,3.47827758,0.339890213,1.329973491,-0.855337275,1.29517708,-0.241778941,-1.634372384,-2.4262514,-1.301314011,-2.181261883,2.270051119,0.722505275,-1.867349714,-0.212454982,1.063324858,-2.769129209,1
-1.384619548,-1.137638245,-0.314705249,0.562161742,1.558693207,-0.855337275,1.43708497,-0.748046036,-1.459189441,-0.644158752,0.216720201,-0.140997557,0.393571212,-1.445654557,-1.647695298,-1.50129208,1.608599998,-2.752744233,1
-0.741345677,-1.137638245,-0.702033098,9.897565963,3.374351775,1.294201426,0.808200942,-1.053834482,0.919553882,-0.644158752,-1.608763978,-0.780843766,1.006676223,-1.574456132,0.610338952,-1.305445512,0.726361276,-2.474199641,1
-0.435468235,-0.846797958,-0.376572399,-0.549195903,-1.421712682,-0.855337275,-1.766685384,2.240411962,-3.670927894,-1.457043118,-0.724845323,-2.688309822,1.100396341,-1.16658448,-1.730887764,0.473841396,-1.476804603,1.228804927,1
-0.300079859,-0.580102903,-0.406189651,-0.104652845,-0.383857806,-0.3179526,-1.017959573,-0.748826109,-0.009303097,-0.737953102,-0.340532864,-0.177215267,-0.378811832,0.185832049,-1.21463412,-0.360798341,-0.861219637,0.917490383,1
-0.969141992,0.099256107,-0.094221256,0.339890213,2.635320775,-0.3179526,0.414054631,0.115494294,-0.220641733,-2.394986617,-2.358173273,-1.589705954,1.054690471,0.421968268,-1.329393688,-1.131267074,0.923827171,-2.523354569,1
-0.24348895,-1.137638245,1.137527375,-0.104652845,0.6434227,-0.3179526,0.013821118,-0.388432583,1.19846923,-0.112657436,0.351229561,-1.819084784,1.250902541,-0.651378183,0.415346334,-1.012092354,0.254013881,-1.032321756,1
-0.865988944,-1.137638245,-0.839259702,12.78709584,2.206471307,0.219432076,1.338167942,-1.113119997,0.126065541,-1.300719201,-1.435823372,0.028018423,0.819928499,-0.866047474,0.484399369,-1.430870654,1.286595954,-1.966265386,1
-0.653235782,-1.137638245,0.570521526,0.117618684,0.26000386,-0.855337275,0.47949205,-0.641956167,-0.687222346,0.199990397,-0.071514143,-1.831157354,0.922651289,-0.844580545,-1.064361563,-0.437053494,0.692702317,-0.950396877,1
-0.527876174,0.46472711,0.761388266,-0.104652845,-0.175111901,-0.855337275,-0.426359656,0.741892564,0.844659945,-1.425778334,-0.878570307,-0.418666666,0.194127413,-0.071771099,-0.155163266,-1.276276874,-0.14989363,-2.506969593,1
